dimension,low,high
EXT_friendly,unfriendly,friendly
EXT_introverted,introverted,extraverted
EXT_silent,silent,talkative
EXT_timid,timid,bold
EXT_unassertive,unassertive,assertive
EXT_inactive,inactive,active
EXT_unenergetic,unenergetic,energetic
EXT_unadventurous,unadventurous,adventurous and daring
EXT_gloomy,gloomy,cheerful
AGR_distrustful,distrustful,trustful
AGR_immoral,immoral,moral
AGR_dishonest,dishonest,honest
AGR_unkind,unkind,kind
AGR_stingy,stingy,generous
AGR_unaltruistic,unaltruistic,altruistic
AGR_uncooperative,uncooperative,cooperative
AGR_self-important,self-important,humble
AGR_unsympathetic,unsympathetic,sympathetic
AGR_selfish,selfish,unselfish
AGR_disagreeable,disagreeable,agreeable
CON_unsure,unsure,self-efficacious
CON_messy,messy,orderly
CON_irresponsible,irresponsible,responsible
CON_lazy,lazy,hardworking
CON_undisciplined,undisciplined,self-disciplined
CON_impractical,impractical,practical
CON_extravagant,extravagant,thrifty
CON_disorganized,disorganized,organized
CON_negligent,negligent,conscientious
CON_careless,careless,thorough
NEU_relaxed,relaxed,tense
NEU_at_ease,at ease,nervous
NEU_easygoing,easygoing,anxious
NEU_calm,calm,angry
NEU_patient,patient,irritable
NEU_happy,happy,depressed
NEU_unselfconscious,unselfconscious,self-conscious
NEU_level-headed,level-headed,impulsive
NEU_contented,contented,discontented
NEU_emotionally_stable,emotionally stable,emotionally unstable
OPE_unimaginative,unimaginative,imaginative
OPE_uncreative,uncreative,creative
OPE_artistically,artistically unappreciative,artistically appreciative
OPE_unaesthetic,unaesthetic,aesthetic
OPE_unreflective,unreflective,reflective
OPE_emotionally_closed,emotionally closed,emotionally aware
OPE_uninquisitive,uninquisitive,curious
OPE_predictable,predictable,spontaneous
OPE_unintelligent,unintelligent,intelligent
OPE_unanalytical,unanalytical,analytical
OPE_unsophisticated,unsophisticated,sophisticated
OPE_socially_conservative,socially conservative,socially progressive
